"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","250","test_Get_goods","","Sat Mar 08 22:45:03 CST 2025","passed","Sat Mar 08 22:45:03 CST 2025","","test_post_admin","",""
"","212","test_Login_admin","","Sat Mar 08 22:45:02 CST 2025","passed","Sat Mar 08 22:45:03 CST 2025","","test_post_admin","",""
